"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "SVG", "CSS", "Less", "Django HTML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\composer.lock", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 1, 96
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\autoload.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\composer\ClassLoader.php", "PHP", 253, 0, 0, 0, 0, 0, 0, 0, 0, 148, 45, 446
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\composer\InstalledVersions.php", "PHP", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 219
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\composer\autoload_classmap.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\composer\autoload_psr4.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\composer\autoload_real.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 58
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\composer\autoload_static.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 37
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\composer\installed.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 1, 86
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\composer\installed.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\composer\platform_check.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 61, 216
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 16, 31
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 1, 62
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 46, 17, 147
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 29
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-bg.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-ca.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-ch.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-cs.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-da.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-de.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-el.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 27
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-eo.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-es.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-et.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-fa.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-fi.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 29
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-fo.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-fr.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 33
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-gl.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-he.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\composer\vendor\phpmailer\phpmailer\language\phpmailer.lang-hi.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
